站號,站名,地址,站別,區域,資料起始日期,撤站日期,城市,經度,緯度,海拔高度(m),備註,原站號,新站號,運作狀態
C0S810,東河,東河鄉北東河17鄰26號(東河國民小學操場旁),自動站,東部,2004/6/1,,臺東縣,121.303986,22.972672,65,原(C1S640)站因擴充為氣象站，於2004/6/1升級為(C0S810)站。本站於2019/3/31起進⾏儀器汰換，於2019/6/7完成驗收。,C1S640,,運行中
C0S830,長濱,長濱鄉竹湖村移民橋後方山頂三角點旁,自動站,東部,2004/6/1,,臺東縣,121.411975,23.286817,288,原(C1S650)站因擴充為氣象站，於2004/6/1升級為(C0S830)站。本站於2019/3/30起進⾏儀器汰換，於2019/6/7完成驗收。,C1S650,,運行中
C0S840,南田,達仁鄉南田村南田風景區公園對面,自動站,東部,2004/4/12,,臺東縣,120.889208,22.279725,22,本站於2019/3/13起進行儀器汰換，於2019/6/7完成驗收。,,,運行中
C0S890,關山,關山鎮親水公園內,自動站,東部,2015/12/6,2026/1/7,臺東縣,121.175017,23.0395,238,本站於2019/3/21起進⾏儀器汰換，於2019/6/7完成驗收。原(C0S890)⾃動氣象站，於2026/03/16完成儀器汰換，轉為(C2S890)農業站。,,C2S890,已撤站
C0S900,蘭嶼高中,蘭嶼鄉椰油村37號（蘭嶼高中內）,自動站,東部,2018/10/26,,臺東縣,121.51214,22.04909,27,,,,運行中
C0S910,蘭嶼燈塔,蘭嶼鄉椰油段1-7地號（蘭嶼燈塔旁）,自動站,東部,2018/10/26,,臺東縣,121.503117,22.081197,212,,,,運行中
C0S920,金峰嘉蘭,金峰鄉嘉蘭村12鄰665號(金峰鄉嘉蘭村活動中心),自動站,東部,2019/7/5,,臺東縣,120.960825,22.594789,133,,,,運行中
C0S930,延平,延平鄉昇平路75號(延平消防分隊),自動站,東部,2019/7/5,,臺東縣,121.084058,22.902581,248,,,,運行中
C0S940,石寧山,長濱鄉寧埔村石寧山附近山區,自動站,東部,2019/7/5,,臺東縣,121.406639,23.223772,150,,,,運行中
C0S950,七塊厝,東河鄉尚德村七塊厝產業道路附近山區,自動站,東部,2019/7/5,,臺東縣,121.229922,22.954453,415,,,,運行中
C0S960,香蘭,太麻里鄉香蘭村四鄰28號 (香蘭國小),自動站,東部,2019/11/28,,臺東縣,120.993375,22.587569,32,,,,運行中
C0S970,加津林,大武鄉大竹村14鄰加津林4號(舊高溪派出所),自動站,東部,2019/7/5,,臺東縣,120.926942,22.416211,19,,,,運行中
C0S980,勝林山,達仁鄉勝林山山頂停機坪旁(與大武鄉交界附近),自動站,東部,2019/7/5,,臺東縣,120.8938,22.430439,903,,,,運行中
C0S990,山豬窟,大武鄉南興村山豬窟產業道路附近山區(梅園涼亭旁),自動站,東部,2019/7/5,,臺東縣,120.857372,22.318619,409,,,,運行中
C0SA00,歷坵,金峰鄉歷坵產業道路附近山區,自動站,東部,2019/7/5,,臺東縣,120.89185,22.520969,466,,,,運行中
C0SA10,檳榔四格山,卑南鄉檳榔四格山山頂瞭望臺旁,自動站,東部,2019/7/5,,臺東縣,121.109308,22.810031,411,,,,運行中
C0SA20,金崙山,太麻里鄉富山產業道路附近山區(與金峰鄉交界附近),自動站,東部,2019/7/5,,臺東縣,120.959667,22.567419,857,,,,運行中
C0SA30,都歷,成功鎮新村路25號(東部海岸國家風景區管理處),自動站,東部,2019/7/5,,臺東縣,121.323642,23.020333,93,,,,運行中
C0SA40,瑞和,鹿野鄉瑞和村瑞景路3段1號(瑞源國中),自動站,東部,2019/7/5,2026/1/7,臺東縣,121.156697,22.974361,200,原(C0SA40)⾃動氣象站，於2026/03/16完成儀器汰換，轉為(C2SA40)農業站。,,C2SA40,已撤站
C0SA60,知本（水試所）,臺東市知本路2段291巷299號,自動站,東部,2020/4/9,,臺東縣,121.082761,22.702394,11,,,,運行中
